,date,kor_cases,kor_deaths,seoul_cases,seoul_deaths,kor_close,kor_open,kor_volume,kor_ticker,label
0,2020-01-21,1,0,0,0,344500,358000,364883,051910,0.5
1,2020-01-22,1,0,0,0,351500,347500,311524,051910,0.5
2,2020-01-23,1,0,0,0,348500,347500,260932,051910,0.5
3,2020-01-24,2,0,0,0,0,0,0,0,0.0
4,2020-01-25,2,0,0,0,0,0,0,0,0.0
5,2020-01-26,2,0,0,0,0,0,0,0,0.0
6,2020-01-27,4,0,0,0,0,0,0,0,0.5
7,2020-01-28,4,0,0,0,336500,338000,348298,051910,0.5
8,2020-01-29,4,0,0,0,335000,338000,272147,051910,0.5
9,2020-01-30,7,0,0,0,343500,338500,642288,051910,0.0
10,2020-01-31,11,0,0,0,337500,349000,391298,051910,0.5
11,2020-02-01,12,0,0,0,0,0,0,0,0.0
12,2020-02-02,15,0,0,0,0,0,0,0,0.0
13,2020-02-03,15,0,0,0,350000,328500,594448,051910,0.471798561151079
14,2020-02-04,16,0,0,0,379500,364500,995237,051910,0.4906666666666666
15,2020-02-05,21,0,0,0,382000,391000,731711,051910,0.5
16,2020-02-06,24,0,0,0,382000,374500,551088,051910,0.475
17,2020-02-07,24,0,0,0,386500,377000,392312,051910,0.5
18,2020-02-08,24,0,0,0,0,0,0,0,0.0
19,2020-02-09,27,0,0,0,0,0,0,0,0.48
20,2020-02-10,27,0,0,0,387000,382500,291904,051910,0.4926315789473684
21,2020-02-11,28,0,0,0,413500,394500,983089,051910,0.4719999999999999
22,2020-02-12,28,0,0,0,408000,408500,463511,051910,0.5
23,2020-02-13,28,0,0,0,411500,408500,448366,051910,0.5
24,2020-02-14,28,0,0,0,413500,416500,301730,051910,0.5
25,2020-02-15,28,0,0,0,0,0,0,0,0.0
26,2020-02-16,29,0,0,0,0,0,0,0,0.4871830985915493
27,2020-02-17,30,0,14,0,419500,420500,514355,051910,0.4781967213114754
28,2020-02-18,39,0,14,0,418000,418000,366288,051910,0.465
29,2020-02-19,46,0,15,0,404000,420500,766920,051910,0.0
30,2020-02-20,104,1,22,0,419000,408500,482732,051910,0.5
31,2020-02-21,204,1,27,0,407000,407000,400924,051910,0.0
32,2020-02-22,433,3,30,0,0,0,0,0,0.0
33,2020-02-23,608,6,31,0,0,0,0,0,0.465
34,2020-02-24,843,7,35,0,395000,392000,463848,051910,0.0
35,2020-02-25,977,10,41,0,399500,395500,478820,051910,0.4704444444444444
36,2020-02-26,1261,12,49,0,395000,394000,334971,051910,0.5
37,2020-02-27,1766,13,56,0,388000,394000,345104,051910,0.5
38,2020-02-28,2337,13,62,0,368000,376500,643995,051910,0.5
39,2020-02-29,3150,17,77,0,0,0,0,0,0.0
40,2020-03-01,3736,18,87,0,0,0,0,0,0.5
41,2020-03-02,4212,22,91,0,377000,368500,514325,051910,0.43
42,2020-03-03,4812,28,98,0,386500,393000,547921,051910,0.4941666666666666
43,2020-03-04,5328,32,99,0,392000,383500,478790,051910,0.0
44,2020-03-05,5766,35,103,0,406000,407500,645954,051910,0.5
45,2020-03-06,6284,44,105,0,400000,401000,357631,051910,0.5
46,2020-03-07,6767,44,108,0,0,0,0,0,0.0
47,2020-03-08,7134,50,120,0,0,0,0,0,0.0
48,2020-03-09,7382,51,130,0,374000,383000,611394,051910,0.0
49,2020-03-10,7513,54,141,0,373500,371000,660399,051910,0.5
50,2020-03-11,7755,60,193,0,365000,374000,447847,051910,0.43
51,2020-03-12,7869,66,212,0,341500,359000,1041370,051910,0.5
52,2020-03-13,7979,67,225,0,340500,315000,899561,051910,0.0
53,2020-03-14,8086,72,238,0,0,0,0,0,0.0
54,2020-03-15,8162,75,247,0,0,0,0,0,0.0
55,2020-03-16,8236,75,253,0,312500,343000,747892,051910,0.5
56,2020-03-17,8320,81,265,0,306500,295000,819960,051910,0.49
57,2020-03-18,8413,84,270,0,280000,307500,946373,051910,0.43
58,2020-03-19,8565,91,282,0,230000,284500,1394682,051910,0.0
59,2020-03-20,8652,94,299,0,272500,246000,1306067,051910,0.491551724137931
60,2020-03-21,8799,102,314,0,0,0,0,0,0.0
61,2020-03-22,8897,104,324,0,0,0,0,0,0.4737500000000001
62,2020-03-23,8961,111,330,0,268000,249500,947838,051910,0.5
63,2020-03-24,9037,120,334,0,288000,283500,966345,051910,0.47
64,2020-03-25,9137,126,347,0,307500,310000,803831,051910,0.4933333333333333
65,2020-03-26,9241,131,360,0,299500,309500,720792,051910,0.5
66,2020-03-27,9332,139,372,0,303500,313000,648602,051910,0.5
67,2020-03-28,9478,144,390,0,0,0,0,0,0.0
68,2020-03-29,9583,152,410,0,0,0,0,0,0.45799999999999996
69,2020-03-30,9661,158,426,0,303000,291000,473701,051910,0.5
70,2020-03-31,9786,162,450,0,305000,306500,492967,051910,0.0
71,2020-04-01,9887,165,474,0,292000,305000,599459,051910,0.4299999999999998
72,2020-04-02,9976,169,488,0,291000,292000,688886,051910,0.5
73,2020-04-03,10062,174,506,0,290500,300000,540101,051910,0.5
74,2020-04-04,10156,177,528,0,0,0,0,0,0.0
75,2020-04-05,10237,183,552,0,0,0,0,0,0.0
76,2020-04-06,10284,186,563,0,296500,295000,494846,051910,0.464313725490196
77,2020-04-07,10331,192,567,0,309000,307000,717617,051910,0.0
78,2020-04-08,10384,200,578,2,313000,308500,616801,051910,0.5
79,2020-04-09,10423,204,590,2,324500,319000,470177,051910,0.0
80,2020-04-10,10450,208,595,2,324000,324500,313697,051910,0.0
81,2020-04-11,10480,211,599,2,0,0,0,0,0.0
82,2020-04-12,10512,214,602,2,0,0,0,0,0.43
83,2020-04-13,10537,217,610,2,315000,325500,298575,051910,0.0
84,2020-04-14,10564,222,612,2,326500,327500,436161,051910,0.5
85,2020-04-15,10591,225,617,2,0,0,0,0,0.0
86,2020-04-16,10613,229,619,2,343000,327500,621763,051910,0.465
87,2020-04-17,10635,230,621,2,362500,352500,753764,051910,0.4745454545454546
88,2020-04-18,10653,232,622,2,0,0,0,0,0.5
89,2020-04-19,10661,234,624,2,0,0,0,0,0.0
90,2020-04-20,10674,236,624,2,351500,362500,504864,051910,0.5
91,2020-04-21,10683,237,626,2,354000,348000,710608,051910,0.0
92,2020-04-22,10694,238,628,2,355000,346500,362008,051910,0.0
93,2020-04-23,10702,240,628,2,361000,360000,343123,051910,0.5
94,2020-04-24,10708,240,628,2,353500,358000,270535,051910,0.0
95,2020-04-25,10718,240,629,2,0,0,0,0,0.0
96,2020-04-26,10728,242,629,2,0,0,0,0,0.0
97,2020-04-27,10738,243,629,2,353500,353500,445576,051910,0.5
98,2020-04-28,10752,244,633,2,362500,365000,582497,051910,0.4789999999999999
99,2020-04-29,10761,246,633,2,376500,368000,566265,051910,0.4883333333333333
100,2020-04-30,10765,247,633,2,0,0,0,0,0.5
101,2020-05-01,10774,248,634,2,0,0,0,0,0.0
102,2020-05-02,10780,250,635,2,0,0,0,0,0.5
103,2020-05-03,10793,250,637,2,0,0,0,0,0.5
104,2020-05-04,10801,252,637,2,360000,361000,669179,051910,0.0
105,2020-05-05,10804,254,637,2,0,0,0,0,0.43
106,2020-05-06,10806,255,637,2,361000,366500,344167,051910,0.5
107,2020-05-07,10810,256,637,2,354000,358000,431374,051910,0.4741176470588234
108,2020-05-08,10822,256,637,2,352500,349000,678484,051910,0.4816666666666666
109,2020-05-09,10840,256,649,2,0,0,0,0,0.4762
